mode,instanceId,expectedTruthfulReward,expectedShortcutReward,expectedRewardGap
psi=0.10,37,1111267.200000,1305882.000000,-194614.7999999998
psi=0.20,37,1208450.400000,1354411.500000,-145961.1000000001
psi=0.30,37,1305633.600000,1402941.000000,-97307.3999999999
baseline,38,1014084.000000,1257352.500000,-243268.5
psi=0.05,38,1062675.600000,1281617.250000,-218941.6499999999
psi=0.10,38,1111267.200000,1305882.000000,-194614.7999999998
psi=0.20,38,1208450.400000,1354411.500000,-145961.1000000001
psi=0.30,38,1305633.600000,1402941.000000,-97307.3999999999
baseline,39,1014084.000000,705882.000000,308202.0
psi=0.05,39,1062675.600000,785293.800000,277381.80000000016
psi=0.10,39,1111267.200000,864705.600000,246561.6000000001
psi=0.20,39,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,39,1305633.600000,1182352.800000,123280.80000000028
baseline,40,1257352.500000,1257352.500000,0.0
psi=0.05,40,1281617.250000,1281617.250000,0.0
psi=0.10,40,1305882.000000,1305882.000000,0.0
psi=0.20,40,1354411.500000,1354411.500000,0.0
psi=0.30,40,1402941.000000,1402941.000000,0.0
baseline,41,885245.250000,1257352.500000,-372107.25
psi=0.05,41,946720.725000,1281617.250000,-334896.5249999999
psi=0.10,41,1008196.200000,1305882.000000,-297685.79999999993
psi=0.20,41,1131147.150000,1354411.500000,-223264.3500000001
psi=0.30,41,1254098.100000,1402941.000000,-148842.8999999999
baseline,42,1014084.000000,885245.250000,128838.75
psi=0.05,42,1062675.600000,946720.725000,115954.875
psi=0.10,42,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,42,1208450.400000,1131147.150000,77303.25
psi=0.30,42,1305633.600000,1254098.100000,51535.5
baseline,43,1014084.000000,439024.250000,575059.75
psi=0.05,43,1062675.600000,545121.825000,517553.775
psi=0.10,43,1111267.200000,651219.400000,460047.80000000005
psi=0.20,43,1208450.400000,863414.550000,345035.84999999986
psi=0.30,43,1305633.600000,1075609.700000,230023.90000000014
baseline,44,1014084.000000,1033536.375000,-19452.375
psi=0.05,44,1062675.600000,1080182.737500,-17507.137499999953
psi=0.10,44,1111267.200000,1126829.100000,-15561.899999999907
psi=0.20,44,1208450.400000,1220121.825000,-11671.42500000028
psi=0.30,44,1305633.600000,1313414.550000,-7780.949999999953
baseline,45,1014084.000000,1033536.375000,-19452.375
psi=0.05,45,1062675.600000,1080182.737500,-17507.137499999953
psi=0.10,45,1111267.200000,1126829.100000,-15561.899999999907
psi=0.20,45,1208450.400000,1220121.825000,-11671.42500000028
psi=0.30,45,1305633.600000,1313414.550000,-7780.949999999953
baseline,46,1014084.000000,1033536.375000,-19452.375
psi=0.05,46,1062675.600000,1080182.737500,-17507.137499999953
psi=0.10,46,1111267.200000,1126829.100000,-15561.899999999907
psi=0.20,46,1208450.400000,1220121.825000,-11671.42500000028
psi=0.30,46,1305633.600000,1313414.550000,-7780.949999999953
baseline,47,1628048.500000,1628048.500000,0.0
psi=0.05,47,1615243.650000,1615243.650000,0.0
psi=0.10,47,1602438.800000,1602438.800000,0.0
psi=0.20,47,1576829.100000,1576829.100000,0.0
psi=0.30,47,1551219.400000,1551219.400000,0.0
baseline,48,1628048.500000,1741935.000000,-113886.5
psi=0.05,48,1615243.650000,1717741.500000,-102497.84999999986
psi=0.10,48,1602438.800000,1693548.000000,-91109.19999999972
psi=0.20,48,1576829.100000,1645161.000000,-68331.89999999967
psi=0.30,48,1551219.400000,1596774.000000,-45554.600000000326
baseline,49,1014084.000000,885245.250000,128838.75
psi=0.05,49,1062675.600000,946720.725000,115954.875
psi=0.10,49,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,49,1208450.400000,1131147.150000,77303.25
psi=0.30,49,1305633.600000,1254098.100000,51535.5
